Region,Have no primary education,Have primary education,Have incomplete secondary education,Have secondary general education,have incomplete higher education,With higher education,Have vocational education,Not specified education level
CHERKASY,6115,49616,112234,303899,6449,83259,174145,8
CHERNIHIV,5829,55631,119554,274914,5641,69288,139274,0
CHERNIVTSI,8066,39214,77075,190552,4912,48489,88589,0
DNIPROPETROVSK,13593,96264,244973,758944,24173,301055,537767,9
DONETSK,23123,158101,365255,1043418,28983,347106,747433,19
IVANO-FRANKIVSK,10128,58080,103008,277113,6953,80204,145228,0
KHARKIV,9465,81211,225930,617124,27500,313490,365257,2
KHERSON,7154,46172,101061,252183,6778,73757,148799,4
KHMELNYTSKYI,7934,56753,113615,327611,6319,73697,149588,0
KIROVOHRAD,5552,36631,82800,257928,5889,65393,150880,2
CRIMEA,9976,74742,193687,448533,15070,198564,336060,74
THE CITY OF KYIV,4005,27792,95248,509214,30861,421384,361687,3
KYIV,7661,63889,153466,418525,8297,107719,209570,5
LUHANSK,11051,86025,210935,583197,14661,176657,350300,11
LVIV,11207,97828,186300,548299,17590,208083,309084,1
MYKOLAIV,6356,40114,100137,287060,7453,89871,157375,7
ODESA,15643,86587,194842,471492,21147,230348,321901,16
POLTAVA,5328,44489,122223,364905,8734,99201,206042,41
RIVNE,11693,50839,76325,243610,5079,58797,114469,1
THE CITY OF SEVASTOPOL,819,6237,22682,71904,3363,49552,60498,5
SUMY,6664,50648,90370,301725,6965,77670,157213,6
TERNOPOL,6231,48783,90533,231135,5276,60753,118517,0
VINNYTSIA,11201,80479,158216,373736,8449,90998,191780,0
VOLYN,7854,42153,65037,224325,4681,53284,107053,0
ZAKARPATTIA,5253,43823,103398,288132,6239,59573,118229,1
ZAPORIZHZHIA,8441,62618,154123,435824,12751,150541,257356,6
ZHYTOMYR,7995,54417,112242,333681,6014,69501,154586,4
