Region,"work in enterprise, organization",work in farm,"pension, public assistance",dependant of individuals,fellowship,work in cooperative enterprise,work on individual labor contract,working for individual employees,another kind of public support,another source,personal subsidiary economy
CHERKASY,560309,171758,382642,361194,28353,2506,1007,145,10935,1273,7231
CHERNIHIV,494631,172511,388702,315126,25614,1955,938,96,7024,783,5390
CHERNIVTSI,345132,108218,179730,258798,22139,1980,1315,252,9028,1181,13028
DNIPROPETROVSK,1811304,151674,768528,978164,113925,10803,2592,405,18800,3937,9726
DONETSK,2583755,115083,1087434,1328773,133155,10594,3486,520,33494,6351,9136
IVANO-FRANKIVSK,544690,128203,253116,402271,27100,3034,4549,238,14021,1251,34738
KHARKIV,1518784,108594,634470,753443,110563,10346,2007,248,25098,2544,8578
KHERSON,545672,85860,224092,331925,25840,2980,1186,210,9466,1402,8337
KHMELNYTSKYI,526881,205589,366560,368602,32337,1852,1098,97,10432,929,7187
KIROVOHRAD,456406,145244,288589,299525,22016,2528,786,111,8490,996,3402
CRIMEA,1153210,110490,409483,670139,47268,10984,1711,311,13746,5702,7451
THE CITY OF KYIV,1433764,3118,318960,671428,112285,11182,1901,229,16074,2869,402
KYIV,826061,138580,421101,487206,35506,2949,1368,174,12319,1577,7528
LUHANSK,1363355,63963,616664,713108,65281,3799,1511,209,19695,2861,6585
LVIV,1213224,156097,477186,732716,91944,5906,2924,241,30802,2159,14211
MYKOLAIV,587089,96092,241339,359926,25141,4050,990,152,7365,1364,4798
ODESA,1108843,218003,473093,699381,74981,12452,2215,463,17500,3978,13336
POLTAVA,671224,176013,438002,406858,33682,2504,1020,202,13668,1406,4137
RIVNE,428566,129536,220376,334784,24510,1593,1028,90,11462,1534,10762
THE CITY OF SEVASTOPOL,212130,936,57914,105663,12089,1760,165,69,1633,423,233
SUMY,558453,130064,355749,332636,30853,1887,725,132,10565,1000,5434
TERNOPOL,374297,183692,264894,293860,22148,2123,1043,73,14046,671,7127
VINNYTSIA,664838,245297,482392,454869,39744,2973,1552,199,16651,1803,10465
VOLYN,375351,126823,221137,298400,20102,1294,818,101,8316,1030,5066
ZAKARPATTIA,495146,120028,174715,387597,19531,2780,6107,587,9694,3342,26091
ZAPORIZHZHIA,957098,118488,399703,525155,45005,4042,1793,239,13531,2026,6938
ZHYTOMYR,582831,152897,355501,397452,26443,1744,863,105,11493,1215,7060
