Region,Russians,Ukrainians
CHERKASY,122308,1381742
CHERNIHIV,96562,1292106
CHERNIVTSI,63066,666095
CRIMEA,1629542,625919
DNIPROPETROVSK,935749,2769560
DONETSK,2316091,2693432
IVANO-FRANKIVSK,57005,1342888
KHARKIV,1054207,1992976
KHERSON,249522,936944
KHMELNYTSKYI,88018,1374749
KIROVOHRAD,144076,1046984
KYIV,167938,1729240
LUHANSK,1279043,1482232
LVIV,195116,2464739
MYKOLAIV,257964,1003591
ODESA,719039,1432737
POLTAVA,178965,1536630
RIVNE,53634,1085729
SUMY,190050,1220487
TERNOPOL,26610,1126395
THE CITY OF KYIV,536707,1863674
THE CITY OF SEVASTOPOL,,
VINNYTSIA,112484,1757948
VOLYN,46900,1001329
ZAKARPATTIA,49458,976749
ZAPORIZHZHIA,664085,1308038
ZHYTOMYR,121443,1306140
