EventStartDate,EventTitle,EventDescription,,,
18-Feb-14,Maidan Protest Violence Peaks,"Thousands of protestors clashed with police in Kiev in Ukraine’s bloodiest 48 hours since World War II. Some 88 people were killed and hundreds more wounded as protestors marched on the Ukrainian Parliament, or Rada, and security forces attempted to clear out Independence Square.

The escalation in violence occurred amid reports that the Rada had stalled when considering the restoration of Ukraine’s 2004 Constitution. Security officials warned that police forces would be authorized to use live ammunition to quell the protests. The two sides accused one another of using sniper fire against unarmed civilians.

American and European leaders called on Ukrainian President Viktor Yanukovych to deescalate the situation and withdraw security forces immediately, while also stating that they would not hesitate to sanction individual officials responsible for the violence. Meanwhile, Russian President Vladimir Putin stressed that Ukraine must take “urgent measures to stabilize the situation and suppress extremist and terrorist attacks.”",,,
21-Feb-14,"Yanukovych Reportedly Flees Kyiv, Tensions Remain","Late Friday evening, the U.S. Department of State confirmed reports that Ukrainian President Viktor Yanukovych has fled Kyiv following the signing of a settlement agreement. While it is unclear exactly where Yanukovych is now, the Department of State believes him to have traveled to eastern Ukraine in order to “shore up support there.” Other reports indicated that Yanukovych had departed Ukraine altogether, possibly for Russia.

While Yanukovych and opposition leaders reached an agreement to end the crisis in Kyiv on Friday, media reports indicate that a portion of the demonstrators on the Maidan were unwilling to accept less than Yanukovych’s full ouster. Addressing the crowd, opposition leader Vitali Klitschko urged protestors to accept the deal, but he was drowned out by shouts of “shame!” He was then interrupted by a militant opposition figure who stated that if Yanukovych does not resign, “we will go with weapons.” A leader of the Right Sector, an ultranationalist group, stated that “the agreements that were reached do no correspond to our aspirations. Right Sector will not lay down arms.”",,,
27-Feb-14,Crimean Parliament Sets Referendum as Ukrainian Government Vows to Prevent Break-Up,"Crimean Parliament Speaker Vladimir Konstantinov announced that parliamentary deputies were preparing a referendum “on the widening of the authority of the autonomous republic of Crimea.” Mr. Konstantinov did not clarify exactly what the referendum would consider, though he had said only yesterday that secession from Ukraine was not under consideration. Nevertheless, Mr. Konstantinov stressed that the Crimean Parliament was the only remaining legitimate authority in the peninsula, and questioned the new Ukrainian government’s commitment to Crimea.

The referendum announcement follows days of turmoil in the Crimean Peninsula in response to the Euromaidan protests in Kiev. Today, thousands of Crimeans demonstrated in favor of a closer relationship with Russia, shouting “Putin is our President.” Other protestors stormed and occupied Sevastopol’s government buildings, including the Parliament, and removed their Ukrainian flags.

Outside Crimea, Russian officials pledged support for “ greater federalism ” in Ukraine while Western officials expressed concern over the growing unrest in Crimea and condemned the armed takeover of official buildings.",,,
28-Feb-14,Russian Forces Occupy Strategic Facilities in Crimea,"Early on Friday, several hundred unidentified armed men in military uniforms carrying military weapons took control of the airport in Simferopol and a military airport in Sevastopol.

Throughout the day, other strategic locations were seized by similar troops, including the headquarters of the “Krym” State Television Company and several facilities owned by Urktelecom, which is responsible for the majority of telephone and internet communications on the peninsula. Russia military vehicles have begun to show up in Crimea, according to reports. Local militias reportedly supported the unidentified troops as well and, according to Ukraine’s Interior Minister, no violence was reported on the peninsula.

Initially, a statement from the Russian Black Sea Fleet denied allegations that troops from the base in Sevastopol were involved. However, the Russian Foreign Ministry later informed the Ukrainian government that it had moved units from its base in Sevastopol into Crimea proper to “protect fleet positions.” The Foreign Ministry statement also noted that Russia had denied a Ukrainian request for bilateral consultations on the basis that events in Crimea are “the result of recent internal political processes in Ukraine.” Russian Ambassador to the United Nations, Vitaly Churkin, assured the international community that any movement by Russian troops was “within the framework” of Russia’s agreement with Ukraine on the base at Sevastopol.",,,
6-Mar-14,"Crimean Parliament Votes to Secede From Ukraine, Join Russia","In a quick vote held behind closed doors, the regional Parliament of Crimea has voted to secede from Ukraine and join Russia. While some MPs have questioned the legitimacy of the vote on the basis that some MPs were not allowed to participate, Crimea has asked the Russian leadership to “launch the procedure of Crimea becoming part of Russia.” Crimea is set to create new government ministries independent from Kyiv and has announced plans to nationalize all state-owned enterprises. The referendum on Crimea’s status has also been pushed forward to March 16, though Crimea’s Tatar population has called for a boycott.

Crimea’s de-facto Prime Minister, Sergey Aksyonov, is unwilling to negotiate with the interim Ukrainian government in Kyiv, stating that “we do not consider this government that proposes talks to us to be legitimate.” Aksyonov’s deputy, Rustam Temugaliyev, stated in an interview that members of the Ukrainian military in Crimea would need to either surrender, accept postings in the Russian military, along with Russian citizenship, or leave Crimea.

Armed men seized the television and radio station in Simferopol today, turning off the Ukrainian channels and replacing them with Rossiya 24, a Russian news channel. Russia also put into place a blockade of Ukrainian warships in Novoozerne, Donuzlav Lake and started massive air defense drills less than 300 miles from the Ukrainian border.",,,
16-Mar-14,Crimea Votes to Join Russia,"According to the Crimean Electoral Commission, with over 75 percent of ballots counted on Sunday evening, 95.7 percent of voters favored a return to union with Russia. Only 3.2 percent favored a return to autonomous status within Ukraine. A Crimean official stated that by the time polls closed, more than 80 percent of eligible voters had cast their ballots.

The ballot read: “Do you support reunifying Crimea with Russia as a subject of the Russian Federation? Do you support the restoration of the 1992 Crimean constitution and the status of Crimea as a part of Ukraine?” There was no option for those who wanted to maintain the status quo. The official website of the referendum noted that more than 200 voting precincts and 1,700 observers were in operation during the vote.",,,
18-Mar-14,"Ukrainian Navy HQ in Crimea Overtaken, Rear Admiral Detained","Approximately 300 Crimean “self-defense” forces, possible aided by Russian military personnel, seized the headquarters of the Ukrainian Navy in Sevastopol and another naval base today, raising the Russian flag. There as reportedly no violence and Ukrainian military personnel were seen leaving the base. According to the Ukrainian Ministry of Defence, Rear Admiral Sergey Gaiduk was detained and his whereabouts were unknown. ITAR-TASS reported that he was taken to the prosecutor’s office in Sevastopol to be questioned.

Acting President of Ukraine, Oleksandr Turchynov issued an ultimatum giving the Crimean government three hours to release Gaiduk and threatening an “adequate response” if they did not do so. Russian Minister of Defense Sergei Shoigu urged the Crimean authorities to release Gaiduk and, according to a statement from the Ukranian Presidential Administration, Gaiduk and the rest of the hostages were released late on the Wednesday night.

Prime Minister Yatsenyuk sent First Deputy Prime Minister Vitaliy Yarema and Defense Minister Ihor Tenyukh to Crimea on Wednesady. However, they cancelled the trip after Crimean Prime Minister Sergey Aksyonov stated that they “are not welcome.”",,,
22-Mar,Pro-Russian Protestors Rally in Donetsk,"Thousands of protestors gathered in the eastern Ukrainian city of Dontesk on Saturday to protest in favor of greater autonomy within Ukraine for the eastern regions, the return of former President Viktor Yanukovych to power, early local and regional elections, and even a referendum on the future of the eastern region. According to press reports, many of the demonstrators carried Russian flags and chanted “Russia” and “Crimea! Donbass! Russia!”

The local parliament in the Donbass region, which includes Donetsk, began discussions aimed at pushing for a referendum similar that which occurred in Crimea and protestors faced off with riot police.

Russia has publicly supported the adoption of a federal constitution in Ukraine that would give the eastern regions greater economic and political autonomy. Moscow has also supported policies that would guarantee Ukraine’s “political and military neutrality.”

Local prosecutors in Donetsk have also opened criminal investigations against a number of pro-Russian activists. The charges include “hooliganism and massive disorders by a group of people” tied to protests in Donestk earlier in March.",,,
23-Mar-14,"Protests in Eastern Ukraine Continue, Intensify","Protests continued in many eastern Ukrainian cities on Sunday. For the second day in a row, pro-Russia, anti-Western protestors congregated on Lenin Square in Donetsk in support of a referendum to join the Russian Federation. According to a study undertaken in February by the Democratic Initiatives Foundation in Ukraine, 33.2 percent of the population in Donestk favor union with Russia.

According to RT, similar rallies also took place in Kharkov, Lugansk, and Odessa, with the demands of the protestors ranging from referenda on joining Russia to the installation of a federal system in Ukraine that would grant more autonomy and power to the regions to the placement of Russian as the official language.",,,
1-Apr-14,NATO Suspends Cooperation with Russia,"Following a meeting of the NATO foreign ministers in Brussels on Tuesday, NATO announced that it will “suspend all practical civilian and military cooperation” with Russia. This measure will be accompanied by other steps to improve the security of NATO member states.

These include: the “possible deployment and reinforcement of military assets in eastern NATO members;” “a possible increase of readiness levels for the NATO rapid response force;” and “a possible review of NATO’s crisis response plans.” A statement from the NATO foreign ministers also outlined measures to “intensify cooperation” with Ukraine and help Ukraine “provide for its own security,” though it did not mention possible Ukrainian accession to NATO. ",,,
